,timing,degree,number_of_roots_found
0,1.055696964263916,10,2
1,0.006495475769042969,20,2
2,0.00697779655456543,30,2
3,0.009132146835327148,40,2
4,0.011358499526977539,50,2
5,0.013393163681030273,60,2
6,0.01678156852722168,70,2
7,0.01924300193786621,80,2
8,0.02282857894897461,90,2
9,0.026296377182006836,100,2
10,0.0305025577545166,110,2
11,0.034160614013671875,120,2
12,0.03897452354431152,130,2
13,0.04471087455749512,140,2
14,0.04819083213806152,150,2
15,0.05319094657897949,160,2
16,0.058426618576049805,170,2
17,0.06410670280456543,180,2
18,0.06925582885742188,190,2
19,0.07603931427001953,200,2
20,0.08126950263977051,210,2
21,0.08931589126586914,220,2
22,0.09529757499694824,230,2
23,0.10297155380249023,240,2
24,0.1109931468963623,250,2
25,0.11911988258361816,260,2
26,0.1264326572418213,270,2
27,0.1349949836730957,280,2
28,0.14320826530456543,290,2
29,0.15258169174194336,300,2
30,0.1607365608215332,310,2
31,0.16894841194152832,320,2
32,0.17920947074890137,330,2
33,0.19035029411315918,340,2
34,0.20000052452087402,350,2
35,0.20902204513549805,360,2
36,0.22111010551452637,370,2
37,0.23139452934265137,380,2
38,0.24271035194396973,390,2
39,0.25360655784606934,400,2
40,0.26636576652526855,410,2
41,0.27683234214782715,420,2
42,0.2901270389556885,430,2
43,0.30240964889526367,440,2
44,0.3137845993041992,450,2
45,0.32776641845703125,460,2
46,0.34049344062805176,470,2
47,0.35604190826416016,480,2
48,0.36775660514831543,490,2
49,0.3829832077026367,500,2
50,0.395540714263916,510,2
51,0.41133880615234375,520,2
52,0.4252448081970215,530,2
53,0.441591739654541,540,2
54,0.45504117012023926,550,2
55,0.47143030166625977,560,2
56,0.4854590892791748,570,2
57,0.5036759376525879,580,2
58,0.5183627605438232,590,2
59,0.5368485450744629,600,2
60,0.5527832508087158,610,2
61,0.5676250457763672,620,2
62,0.5884373188018799,630,2
63,0.6044676303863525,640,2
64,0.6238858699798584,650,2
65,0.6400578022003174,660,2
66,0.6620259284973145,670,2
67,0.678290843963623,680,2
68,0.699613094329834,690,2
69,0.715681791305542,700,2
70,0.7366549968719482,710,2
71,0.7555446624755859,720,2
72,0.7764921188354492,730,2
73,0.7977674007415771,740,2
74,0.815049409866333,750,2
75,0.8382465839385986,760,2
76,0.8566303253173828,770,2
77,0.8803012371063232,780,2
78,0.9008338451385498,790,2
79,0.9240520000457764,800,2
80,0.9440174102783203,810,2
81,0.9690556526184082,820,2
82,0.9915523529052734,830,2
83,1.0147385597229004,840,2
84,1.0370938777923584,850,2
85,1.0552310943603516,860,2
86,1.066004753112793,870,2
87,1.0779387950897217,880,2
88,1.088590145111084,890,2
89,1.099118709564209,900,2
90,1.111267328262329,910,2
91,1.121736764907837,920,2
92,1.1331007480621338,930,2
93,1.1471974849700928,940,2
94,1.1576929092407227,950,2
95,1.167959213256836,960,2
96,1.1805028915405273,970,2
97,1.1905169486999512,980,2
98,1.2022693157196045,990,2
99,1.2121319770812988,1000,2
100,1.2259330749511719,1010,2
101,0.006215333938598633,1020,2
102,0.006207942962646484,1030,2
103,0.006128072738647461,1040,2
104,0.006080150604248047,1050,2
105,0.006292581558227539,1060,2
106,0.006177663803100586,1070,2
107,0.006289958953857422,1080,2
108,0.006403446197509766,1090,2
109,0.006560564041137695,1100,2
110,0.0065729618072509766,1110,2
111,0.006441593170166016,1120,2
112,0.006584882736206055,1130,2
113,0.006472587585449219,1140,2
114,0.006598234176635742,1150,2
115,0.006695747375488281,1160,2
116,0.0066759586334228516,1170,2
117,0.006648540496826172,1180,2
118,0.006797313690185547,1190,2
119,0.006721973419189453,1200,2
120,0.0069653987884521484,1210,2
121,0.0071239471435546875,1220,2
122,0.006819486618041992,1230,2
123,0.007170915603637695,1240,2
124,0.006911039352416992,1250,2
125,0.0070230960845947266,1260,2
126,0.006997585296630859,1270,2
127,0.007100105285644531,1280,2
128,0.007219791412353516,1290,2
129,0.007185935974121094,1300,2
130,0.007151126861572266,1310,2
131,0.007400989532470703,1320,2
132,0.007449626922607422,1330,2
133,0.007296562194824219,1340,2
134,0.007564544677734375,1350,2
135,0.007360219955444336,1360,2
136,0.007491588592529297,1370,2
137,0.007454395294189453,1380,2
138,0.007627248764038086,1390,2
139,0.0075266361236572266,1400,2
140,0.007835149765014648,1410,2
141,0.0076160430908203125,1420,2
142,0.00792837142944336,1430,2
143,0.007892847061157227,1440,2
144,0.0077936649322509766,1450,2
145,0.007851839065551758,1460,2
146,0.00789022445678711,1470,2
147,0.008121252059936523,1480,2
148,0.007890939712524414,1490,2
