,timing,degree,number_of_roots_found
0,0.000415802001953125,10,8
1,0.0002930164337158203,20,18
2,0.0004248619079589844,30,28
3,0.0006263256072998047,40,38
4,0.0009036064147949219,50,48
5,0.001234292984008789,60,58
6,0.0016758441925048828,70,68
7,0.006047487258911133,80,78
8,0.007783412933349609,90,88
9,0.009265661239624023,100,98
10,0.011046171188354492,110,108
11,0.013689279556274414,120,118
12,0.017584562301635742,130,128
13,0.019649267196655273,140,138
14,0.022477388381958008,150,148
15,0.04362368583679199,160,158
16,0.06916427612304688,170,168
17,0.07777667045593262,180,178
18,0.08236241340637207,190,188
19,0.09727716445922852,200,198
20,0.11826872825622559,210,208
21,0.11745190620422363,220,218
22,0.13737273216247559,230,228
23,0.1559751033782959,240,238
24,0.17589116096496582,250,248
25,0.20777487754821777,260,258
26,0.20262765884399414,270,268
27,0.20997858047485352,280,278
28,0.22904396057128906,290,288
29,0.2391209602355957,300,298
30,0.33342909812927246,310,308
31,0.27634644508361816,320,318
32,0.2854959964752197,330,328
33,0.3380312919616699,340,338
34,0.39070558547973633,350,348
35,0.3864288330078125,360,358
36,0.39173245429992676,370,368
37,0.45735836029052734,380,378
38,0.4167180061340332,390,388
39,0.43539857864379883,400,398
40,0.48877763748168945,410,408
41,0.5005345344543457,420,418
42,0.5495889186859131,430,428
43,0.7209517955780029,440,438
44,0.5405488014221191,450,448
45,0.5974040031433105,460,458
46,0.6031537055969238,470,468
47,0.5987832546234131,480,478
48,0.624988317489624,490,488
49,0.6142668724060059,500,498
50,0.7786736488342285,510,508
51,0.8055622577667236,520,518
52,0.9296936988830566,530,528
53,0.9999196529388428,540,538
54,0.8937780857086182,550,548
55,0.9838228225708008,560,558
56,1.061767578125,570,568
57,1.153221607208252,580,578
58,1.1575820446014404,590,588
59,1.2149136066436768,600,598
60,1.3201682567596436,610,608
61,1.3091609477996826,620,618
62,1.2860705852508545,630,628
63,1.3081843852996826,640,638
64,1.3602347373962402,650,648
65,1.4223682880401611,660,658
66,1.6991724967956543,670,668
67,1.5327866077423096,680,678
68,1.5759294033050537,690,688
69,1.5297436714172363,700,698
70,1.606966495513916,710,708
71,1.7327392101287842,720,718
72,1.5890979766845703,730,728
73,1.763695240020752,740,738
74,1.7972707748413086,750,748
75,1.7934238910675049,760,758
76,1.6733570098876953,770,768
77,1.7245533466339111,780,778
78,1.8209984302520752,790,788
79,1.7079334259033203,800,798
80,2.045053005218506,810,808
81,2.032073736190796,820,818
82,2.0535221099853516,830,828
83,2.1648809909820557,840,838
84,2.085576295852661,850,848
85,2.1097710132598877,860,858
86,2.289111614227295,870,868
87,2.387700080871582,880,878
88,2.4340450763702393,890,888
89,2.594672918319702,900,898
90,2.649585723876953,910,908
91,2.7455661296844482,920,918
92,2.6810996532440186,930,928
93,2.759394645690918,940,938
94,2.833268404006958,950,948
95,3.022557020187378,960,958
96,2.999112129211426,970,968
97,2.9162251949310303,980,978
98,3.0538840293884277,990,988
99,3.081045389175415,1000,998
100,3.083106756210327,1010,1008
101,3.1523289680480957,1020,1018
102,3.367661237716675,1030,1028
103,3.395533561706543,1040,1038
104,3.265631914138794,1050,1048
105,3.2390596866607666,1060,1058
106,3.388314962387085,1070,1068
107,3.4220712184906006,1080,1078
108,3.3941452503204346,1090,1088
109,3.5913758277893066,1100,1098
110,3.6883647441864014,1110,1108
111,3.491533041000366,1120,1118
112,4.008234024047852,1130,1128
113,4.000286102294922,1140,1138
114,3.8855106830596924,1150,1148
115,3.987374782562256,1160,1158
116,3.8652658462524414,1170,1168
117,3.856494903564453,1180,1178
118,3.9346024990081787,1190,1188
119,4.1247968673706055,1200,1198
120,4.010236978530884,1210,1208
121,4.1571879386901855,1220,1218
122,10.501867055892944,1230,1228
123,11.551343441009521,1240,1238
124,4.786467552185059,1250,1248
125,4.40733790397644,1260,1258
126,4.619981288909912,1270,1268
127,4.690412759780884,1280,1278
128,5.064470529556274,1290,1288
129,4.66198992729187,1300,1298
130,4.724952936172485,1310,1308
131,5.120042085647583,1320,1318
132,4.774261474609375,1330,1328
133,4.900620937347412,1340,1338
134,6.1360695362091064,1350,1348
135,4.919208526611328,1360,1358
136,5.0439019203186035,1370,1368
137,5.139147520065308,1380,1378
138,5.305790901184082,1390,1388
139,5.245298385620117,1400,1398
140,5.327110052108765,1410,1408
141,5.2839508056640625,1420,1418
142,8.389702320098877,1430,1428
143,10.51367449760437,1440,1438
144,5.987059831619263,1450,1448
145,5.695907354354858,1460,1458
146,5.640350580215454,1470,1468
147,5.862565755844116,1480,1478
148,5.864002227783203,1490,1488
