,timing,degree,number_of_roots_found
0,0.9781243801116943,10,2
1,0.007420063018798828,20,2
2,0.009468317031860352,30,2
3,0.01193857192993164,40,2
4,0.014632701873779297,50,2
5,0.017632484436035156,60,2
6,0.02128887176513672,70,2
7,0.02431464195251465,80,2
8,0.028229713439941406,90,2
9,0.032727718353271484,100,2
10,0.037017822265625,110,2
11,0.04178667068481445,120,2
12,0.046434640884399414,130,2
13,0.051105499267578125,140,2
14,0.05675482749938965,150,2
15,0.06224536895751953,160,2
16,0.06790542602539062,170,2
17,0.0738840103149414,180,2
18,0.07982015609741211,190,2
19,0.08618569374084473,200,2
20,0.09313130378723145,210,2
21,0.09992408752441406,220,2
22,0.1078178882598877,230,2
23,0.11481380462646484,240,2
24,0.12252497673034668,250,2
25,0.13154053688049316,260,2
26,0.1384742259979248,270,2
27,0.14764165878295898,280,2
28,0.15576624870300293,290,2
29,0.16519474983215332,300,2
30,0.1736764907836914,310,2
31,0.18204760551452637,320,2
32,0.20403337478637695,330,2
33,0.20294928550720215,340,2
34,0.21155595779418945,350,2
35,0.22249484062194824,360,2
36,0.23599886894226074,370,2
37,0.24322962760925293,380,2
38,0.25541019439697266,390,2
39,0.27315449714660645,400,2
40,0.27884936332702637,410,2
41,0.2910933494567871,420,2
42,0.30037569999694824,430,2
43,0.305161714553833,440,2
44,0.312544584274292,450,2
45,0.3157055377960205,460,2
46,0.32152819633483887,470,2
47,0.32718372344970703,480,2
48,0.33161306381225586,490,2
49,0.3406655788421631,500,2
50,0.3419804573059082,510,2
51,0.34775304794311523,520,2
52,0.35306429862976074,530,2
53,0.3616976737976074,540,2
54,0.3625469207763672,550,2
55,0.3735473155975342,560,2
56,0.37480592727661133,570,2
57,0.37880396842956543,580,2
58,0.3838639259338379,590,2
59,0.3924522399902344,600,2
60,0.3945131301879883,610,2
61,0.399324893951416,620,2
62,0.40500926971435547,630,2
63,0.4102623462677002,640,2
64,0.4153714179992676,650,2
65,0.4215872287750244,660,2
66,0.42627835273742676,670,2
67,0.43181681632995605,680,2
68,0.4359860420227051,690,2
69,0.44162464141845703,700,2
70,0.44684433937072754,710,2
71,0.452070951461792,720,2
72,0.4572579860687256,730,2
73,0.4619162082672119,740,2
74,0.4673638343811035,750,2
75,0.47357892990112305,760,2
76,0.47861814498901367,770,2
77,0.48514533042907715,780,2
78,0.4895198345184326,790,2
79,0.4944465160369873,800,2
80,0.4989793300628662,810,2
81,0.5053393840789795,820,2
82,0.5100626945495605,830,2
83,0.003835439682006836,840,2
84,0.0035352706909179688,850,2
85,0.0036351680755615234,860,2
86,0.0035893917083740234,870,2
87,0.003862142562866211,880,2
88,0.0038259029388427734,890,2
89,0.0038094520568847656,900,2
90,0.0037446022033691406,910,2
91,0.0036733150482177734,920,2
92,0.0037615299224853516,930,2
93,0.003709554672241211,940,2
94,0.003806591033935547,950,2
95,0.0037641525268554688,960,2
96,0.0039975643157958984,970,2
97,0.003808736801147461,980,2
98,0.005652189254760742,990,2
99,0.004050016403198242,1000,2
100,0.003879070281982422,1010,2
101,0.004003763198852539,1020,2
102,0.004088640213012695,1030,2
103,0.00406336784362793,1040,2
104,0.003958702087402344,1050,2
105,0.004067420959472656,1060,2
106,0.003996372222900391,1070,2
107,0.004105091094970703,1080,2
108,0.004178285598754883,1090,2
109,0.004274129867553711,1100,2
110,0.00426030158996582,1110,2
111,0.004123210906982422,1120,2
112,0.0042073726654052734,1130,2
113,0.0041370391845703125,1140,2
114,0.0042362213134765625,1150,2
115,0.004339694976806641,1160,2
116,0.004318714141845703,1170,2
117,0.00421452522277832,1180,2
118,0.004357099533081055,1190,2
119,0.004259347915649414,1200,2
120,0.0045511722564697266,1210,2
121,0.004638671875,1220,2
122,0.004391908645629883,1230,2
123,0.00464320182800293,1240,2
124,0.004360675811767578,1250,2
125,0.0045032501220703125,1260,2
126,0.004395961761474609,1270,2
127,0.004512786865234375,1280,2
128,0.0045931339263916016,1290,2
129,0.004566192626953125,1300,2
130,0.004492759704589844,1310,2
131,0.0047380924224853516,1320,2
132,0.0047147274017333984,1330,2
133,0.004593610763549805,1340,2
134,0.0048062801361083984,1350,2
135,0.004599332809448242,1360,2
136,0.004683494567871094,1370,2
137,0.0046350955963134766,1380,2
138,0.004800319671630859,1390,2
139,0.004667758941650391,1400,2
140,0.0049169063568115234,1410,2
141,0.004720449447631836,1420,2
142,0.005014896392822266,1430,2
143,0.0049228668212890625,1440,2
144,0.004767656326293945,1450,2
145,0.0048828125,1460,2
146,0.004858493804931641,1470,2
147,0.005106449127197266,1480,2
148,0.004842042922973633,1490,2
