,timing,scale_val,degree,number_of_roots_found
0,0.08968639373779297,1,2,27
1,0.08659720420837402,1,3,81
2,0.09384679794311523,1,4,243
3,0.10249996185302734,1,5,729
4,0.1308579444885254,1,6,2187
5,0.2835526466369629,1,7,6561
6,0.6988081932067871,1,8,19683
7,1.997575283050537,1,9,59049
8,6.3731396198272705,1,10,177147
9,22.071232557296753,1,11,531441
10,70.89777708053589,1,12,1594323
11,234.8307604789734,1,13,4782969
