,l_xy,n_pts,time
0,1,10,1.0028645992279053
1,2,10,0.00010395050048828125
2,3,10,7.390975952148438e-05
3,4,10,6.651878356933594e-05
4,5,10,6.198883056640625e-05
5,6,10,5.936622619628906e-05
6,7,10,7.176399230957031e-05
7,8,10,5.1975250244140625e-05
8,9,10,4.4345855712890625e-05
9,10,10,4.887580871582031e-05
10,11,10,4.100799560546875e-05
11,12,10,4.363059997558594e-05
12,13,10,3.838539123535156e-05
13,14,10,4.5299530029296875e-05
14,15,10,4.696846008300781e-05
15,16,10,4.1961669921875e-05
16,17,10,4.1961669921875e-05
17,18,10,3.600120544433594e-05
18,19,10,3.886222839355469e-05
19,20,10,3.528594970703125e-05
20,21,10,3.337860107421875e-05
21,22,10,3.552436828613281e-05
22,23,10,3.3855438232421875e-05
23,24,10,3.600120544433594e-05
24,25,10,3.0279159545898438e-05
25,26,10,3.552436828613281e-05
26,27,10,3.0517578125e-05
27,28,10,3.0279159545898438e-05
28,29,10,2.5510787963867188e-05
29,30,10,3.123283386230469e-05
30,31,10,3.0517578125e-05
31,32,10,3.170967102050781e-05
32,33,10,3.838539123535156e-05
33,34,10,2.9087066650390625e-05
34,35,10,2.5987625122070312e-05
35,36,10,2.9087066650390625e-05
36,37,10,2.765655517578125e-05
37,38,10,3.4332275390625e-05
38,39,10,2.574920654296875e-05
39,40,10,2.7894973754882812e-05
40,41,10,2.8371810913085938e-05
41,42,10,3.0279159545898438e-05
42,43,10,3.0279159545898438e-05
43,44,10,2.765655517578125e-05
44,45,10,2.5510787963867188e-05
45,46,10,2.765655517578125e-05
46,47,10,3.62396240234375e-05
47,48,10,3.4809112548828125e-05
48,49,10,2.4318695068359375e-05
49,50,10,2.6702880859375e-05
50,51,10,2.5033950805664062e-05
51,52,10,2.6464462280273438e-05
52,53,10,2.6226043701171875e-05
53,54,10,2.7418136596679688e-05
54,55,10,2.384185791015625e-05
55,56,10,2.5510787963867188e-05
56,57,10,2.47955322265625e-05
57,58,10,2.6464462280273438e-05
58,59,10,3.075599670410156e-05
59,60,10,2.8133392333984375e-05
60,61,10,2.47955322265625e-05
61,62,10,2.7179718017578125e-05
62,63,10,2.5033950805664062e-05
63,64,10,2.5510787963867188e-05
64,65,10,2.574920654296875e-05
65,66,10,2.7179718017578125e-05
66,67,10,2.47955322265625e-05
67,68,10,2.8371810913085938e-05
68,69,10,2.4318695068359375e-05
69,70,10,2.5987625122070312e-05
70,71,10,3.075599670410156e-05
71,72,10,2.7418136596679688e-05
72,73,10,2.5272369384765625e-05
73,74,10,2.5510787963867188e-05
74,75,10,2.4557113647460938e-05
75,76,10,2.7179718017578125e-05
76,77,10,2.4080276489257812e-05
77,78,10,2.574920654296875e-05
78,79,10,2.9087066650390625e-05
79,80,10,2.5987625122070312e-05
80,81,10,2.5272369384765625e-05
81,82,10,3.647804260253906e-05
82,83,10,2.384185791015625e-05
83,84,10,3.218650817871094e-05
84,85,10,2.6941299438476562e-05
85,86,10,2.5033950805664062e-05
86,87,10,2.4080276489257812e-05
87,88,10,2.5033950805664062e-05
88,89,10,2.288818359375e-05
89,90,10,2.5272369384765625e-05
90,91,10,2.3365020751953125e-05
91,92,10,2.6464462280273438e-05
92,93,10,2.4080276489257812e-05
93,94,10,2.5987625122070312e-05
94,95,10,2.3365020751953125e-05
95,96,10,2.47955322265625e-05
96,97,10,2.4080276489257812e-05
97,98,10,2.5510787963867188e-05
98,99,10,2.3603439331054688e-05
99,1,20,0.0002617835998535156
100,2,20,0.0001811981201171875
101,3,20,0.0001938343048095703
102,4,20,0.00020647048950195312
103,5,20,0.0001780986785888672
104,6,20,0.00016188621520996094
105,7,20,0.00014543533325195312
106,8,20,0.00013136863708496094
107,9,20,0.00012111663818359375
108,10,20,0.00012087821960449219
109,11,20,0.00011777877807617188
110,12,20,0.00010156631469726562
111,13,20,9.989738464355469e-05
112,14,20,0.00011181831359863281
113,15,20,0.00010085105895996094
114,16,20,9.012222290039062e-05
115,17,20,9.012222290039062e-05
116,18,20,8.940696716308594e-05
117,19,20,8.392333984375e-05
118,20,20,7.963180541992188e-05
119,21,20,6.961822509765625e-05
120,22,20,7.009506225585938e-05
121,23,20,7.867813110351562e-05
122,24,20,9.369850158691406e-05
123,25,20,7.510185241699219e-05
124,26,20,7.2479248046875e-05
125,27,20,8.344650268554688e-05
126,28,20,6.29425048828125e-05
127,29,20,7.43865966796875e-05
128,30,20,6.651878356933594e-05
129,31,20,7.414817810058594e-05
130,32,20,6.413459777832031e-05
131,33,20,6.961822509765625e-05
132,34,20,5.841255187988281e-05
133,35,20,6.604194641113281e-05
134,36,20,5.841255187988281e-05
135,37,20,5.745887756347656e-05
136,38,20,6.008148193359375e-05
137,39,20,6.270408630371094e-05
138,40,20,5.650520324707031e-05
139,41,20,6.437301635742188e-05
140,42,20,5.984306335449219e-05
141,43,20,6.341934204101562e-05
142,44,20,5.0067901611328125e-05
143,45,20,5.698204040527344e-05
144,46,20,5.3882598876953125e-05
145,47,20,5.745887756347656e-05
146,48,20,5.1021575927734375e-05
