,l_xy,n_pts,time
0,1,10,1.0058209896087646
1,2,10,8.940696716308594e-05
2,3,10,8.893013000488281e-05
3,4,10,6.246566772460938e-05
4,5,10,6.508827209472656e-05
5,6,10,5.555152893066406e-05
6,7,10,8.296966552734375e-05
7,8,10,5.1021575927734375e-05
8,9,10,5.602836608886719e-05
9,10,10,7.224082946777344e-05
10,11,10,4.363059997558594e-05
11,12,10,4.57763671875e-05
12,13,10,4.458427429199219e-05
13,14,10,5.173683166503906e-05
14,15,10,4.9591064453125e-05
15,16,10,4.315376281738281e-05
16,17,10,4.4345855712890625e-05
17,18,10,4.887580871582031e-05
18,19,10,5.0067901611328125e-05
19,20,10,3.8623809814453125e-05
20,21,10,4.673004150390625e-05
21,22,10,4.124641418457031e-05
22,23,10,5.364418029785156e-05
23,24,10,3.504753112792969e-05
24,25,10,3.933906555175781e-05
25,26,10,4.601478576660156e-05
26,27,10,3.647804260253906e-05
27,28,10,3.7670135498046875e-05
28,29,10,2.9802322387695312e-05
29,30,10,4.38690185546875e-05
30,31,10,3.8623809814453125e-05
31,32,10,4.649162292480469e-05
32,33,10,4.38690185546875e-05
33,34,10,3.7670135498046875e-05
34,35,10,3.123283386230469e-05
35,36,10,3.314018249511719e-05
36,37,10,3.337860107421875e-05
37,38,10,3.0040740966796875e-05
38,39,10,3.170967102050781e-05
39,40,10,3.361701965332031e-05
40,41,10,3.790855407714844e-05
41,42,10,3.910064697265625e-05
42,43,10,3.8623809814453125e-05
43,44,10,3.170967102050781e-05
44,45,10,3.075599670410156e-05
45,46,10,3.3855438232421875e-05
46,47,10,3.075599670410156e-05
47,48,10,2.956390380859375e-05
48,49,10,3.0994415283203125e-05
49,50,10,4.3392181396484375e-05
50,51,10,2.9802322387695312e-05
51,52,10,3.147125244140625e-05
52,53,10,4.172325134277344e-05
53,54,10,3.218650817871094e-05
54,55,10,3.4809112548828125e-05
55,56,10,3.504753112792969e-05
56,57,10,2.86102294921875e-05
57,58,10,3.361701965332031e-05
58,59,10,3.24249267578125e-05
59,60,10,3.933906555175781e-05
60,61,10,3.600120544433594e-05
61,62,10,3.0040740966796875e-05
62,63,10,2.9802322387695312e-05
63,64,10,3.7670135498046875e-05
64,65,10,3.147125244140625e-05
65,66,10,3.147125244140625e-05
66,67,10,3.314018249511719e-05
67,68,10,3.0040740966796875e-05
