,l_xy,n_pts,time
0,1,10,0.9911572933197021
1,2,10,0.00013136863708496094
2,3,10,9.34600830078125e-05
3,4,10,8.368492126464844e-05
4,5,10,9.512901306152344e-05
5,6,10,7.2479248046875e-05
6,7,10,6.890296936035156e-05
7,8,10,8.988380432128906e-05
8,9,10,5.53131103515625e-05
9,10,10,8.58306884765625e-05
10,11,10,6.318092346191406e-05
11,12,10,6.198883056640625e-05
12,13,10,6.747245788574219e-05
13,14,10,7.510185241699219e-05
14,15,10,7.224082946777344e-05
15,16,10,6.413459777832031e-05
16,17,10,5.269050598144531e-05
17,18,10,5.316734313964844e-05
18,19,10,5.6743621826171875e-05
19,20,10,6.198883056640625e-05
20,21,10,5.245208740234375e-05
21,22,10,7.009506225585938e-05
22,23,10,5.793571472167969e-05
23,24,10,5.3882598876953125e-05
24,25,10,5.91278076171875e-05
25,26,10,5.340576171875e-05
26,27,10,5.53131103515625e-05
27,28,10,6.29425048828125e-05
28,29,10,5.269050598144531e-05
29,30,10,7.581710815429688e-05
30,31,10,6.031990051269531e-05
31,32,10,6.699562072753906e-05
32,33,10,6.413459777832031e-05
33,34,10,5.7697296142578125e-05
34,35,10,6.151199340820312e-05
35,36,10,5.245208740234375e-05
36,37,10,6.103515625e-05
37,38,10,5.6743621826171875e-05
38,39,10,5.4836273193359375e-05
39,40,10,5.459785461425781e-05
40,41,10,5.53131103515625e-05
41,42,10,5.4836273193359375e-05
42,43,10,5.650520324707031e-05
43,44,10,6.842613220214844e-05
44,45,10,6.723403930664062e-05
45,46,10,5.9604644775390625e-05
46,47,10,5.340576171875e-05
47,48,10,5.793571472167969e-05
48,49,10,6.771087646484375e-05
49,50,10,5.4836273193359375e-05
50,51,10,6.079673767089844e-05
51,52,10,6.151199340820312e-05
52,53,10,5.269050598144531e-05
53,54,10,4.863739013671875e-05
54,55,10,5.030632019042969e-05
55,56,10,6.175041198730469e-05
56,57,10,4.553794860839844e-05
57,58,10,5.4836273193359375e-05
58,59,10,5.3882598876953125e-05
59,60,10,5.507469177246094e-05
60,61,10,5.4836273193359375e-05
61,62,10,5.030632019042969e-05
62,63,10,5.0067901611328125e-05
63,64,10,4.9114227294921875e-05
64,65,10,7.581710815429688e-05
65,66,10,5.173683166503906e-05
66,67,10,4.9114227294921875e-05
67,68,10,5.340576171875e-05
68,69,10,5.316734313964844e-05
69,70,10,5.0067901611328125e-05
70,71,10,5.125999450683594e-05
71,72,10,5.602836608886719e-05
72,73,10,5.316734313964844e-05
73,74,10,5.340576171875e-05
74,75,10,4.9591064453125e-05
75,76,10,6.29425048828125e-05
76,77,10,4.9114227294921875e-05
77,78,10,6.365776062011719e-05
78,79,10,5.555152893066406e-05
79,80,10,5.435943603515625e-05
80,81,10,5.078315734863281e-05
81,82,10,5.078315734863281e-05
82,83,10,5.2928924560546875e-05
83,84,10,4.863739013671875e-05
84,85,10,5.364418029785156e-05
85,86,10,6.794929504394531e-05
86,87,10,5.245208740234375e-05
87,88,10,4.9591064453125e-05
88,89,10,5.4836273193359375e-05
89,90,10,5.6743621826171875e-05
90,91,10,6.079673767089844e-05
91,92,10,5.1975250244140625e-05
92,93,10,5.435943603515625e-05
93,94,10,5.3882598876953125e-05
94,95,10,5.269050598144531e-05
95,96,10,5.0067901611328125e-05
96,97,10,4.982948303222656e-05
97,98,10,6.794929504394531e-05
98,99,10,5.0067901611328125e-05
99,1,20,0.00024509429931640625
100,2,20,0.00017333030700683594
101,3,20,0.0001468658447265625
102,4,20,0.00016045570373535156
103,5,20,0.00011897087097167969
104,6,20,0.00021076202392578125
105,7,20,0.00014257431030273438
106,8,20,0.00013399124145507812
107,9,20,0.00014138221740722656
108,10,20,0.00013446807861328125
109,11,20,0.00020837783813476562
110,12,20,0.00013971328735351562
111,13,20,0.00011563301086425781
112,14,20,0.00011467933654785156
113,15,20,0.00019741058349609375
114,16,20,0.00010085105895996094
115,17,20,0.00010657310485839844
116,18,20,0.00017690658569335938
117,19,20,0.00012731552124023438
118,20,20,0.00010228157043457031
119,21,20,0.00011610984802246094
120,22,20,0.00010967254638671875
121,23,20,9.465217590332031e-05
122,24,20,0.00010991096496582031
123,25,20,0.00010585784912109375
124,26,20,9.965896606445312e-05
125,27,20,9.679794311523438e-05
126,28,20,8.940696716308594e-05
127,29,20,0.00017571449279785156
128,30,20,0.00010132789611816406
129,31,20,0.00011491775512695312
130,32,20,0.00010371208190917969
131,33,20,9.775161743164062e-05
132,34,20,8.749961853027344e-05
133,35,20,7.605552673339844e-05
134,36,20,8.7738037109375e-05
135,37,20,8.368492126464844e-05
136,38,20,0.00010061264038085938
137,39,20,9.655952453613281e-05
138,40,20,0.00010991096496582031
139,41,20,0.00010657310485839844
140,42,20,0.00010085105895996094
141,43,20,7.390975952148438e-05
142,44,20,6.771087646484375e-05
143,45,20,7.82012939453125e-05
144,46,20,7.581710815429688e-05
145,47,20,8.487701416015625e-05
146,48,20,6.580352783203125e-05
147,49,20,9.417533874511719e-05
148,50,20,6.365776062011719e-05
149,51,20,6.365776062011719e-05
150,52,20,5.53131103515625e-05
151,53,20,7.081031799316406e-05
152,54,20,6.842613220214844e-05
153,55,20,7.2479248046875e-05
154,56,20,8.678436279296875e-05
155,57,20,5.793571472167969e-05
156,58,20,6.890296936035156e-05
157,59,20,5.984306335449219e-05
