,l_xy,n_pts,time
0,1,10,463983.58154296875
1,2,10,194.5600062608719
2,3,10,175.10400712490082
3,4,10,163.83999586105347
4,5,10,149.50400590896606
5,6,10,151.5520066022873
6,7,10,152.5759994983673
7,8,10,151.5520066022873
8,9,10,136.19199395179749
9,10,10,151.5520066022873
10,11,10,149.50400590896606
11,12,10,152.5759994983673
12,13,10,141.31200313568115
13,14,10,146.43199741840363
14,15,10,155.64799308776855
15,16,10,137.2160017490387
16,17,10,126.97599828243256
17,18,10,136.19199395179749
18,19,10,146.43199741840363
19,20,10,123.90399724245071
20,21,10,146.40000462532043
21,22,10,138.2399946451187
22,23,10,136.19199395179749
23,24,10,134.14399325847626
24,25,10,145.4080045223236
25,26,10,163.83999586105347
26,27,10,130.048006772995
27,28,10,139.26400244235992
28,29,10,131.071999669075
29,30,10,154.62400019168854
30,31,10,124.92799758911133
31,32,10,134.14399325847626
32,33,10,130.048006772995
33,34,10,135.16800105571747
34,35,10,133.12000036239624
35,36,10,112.64000087976456
36,37,10,123.90399724245071
37,38,10,133.12000036239624
38,39,10,125.95200538635254
39,40,10,129.02399897575378
40,41,10,117.76000261306763
41,42,10,129.02399897575378
42,43,10,126.97599828243256
43,44,10,115.7120019197464
44,45,10,123.90399724245071
45,46,10,116.73600226640701
46,47,10,128.00000607967377
47,48,10,128.00000607967377
48,49,10,120.83200365304947
49,50,10,117.76000261306763
50,51,10,121.85599654912949
51,52,10,131.071999669075
52,53,10,128.00000607967377
53,54,10,123.90399724245071
54,55,10,161.79199516773224
55,56,10,128.00000607967377
56,57,10,110.59200018644333
57,58,10,124.92799758911133
58,59,10,113.66400122642517
59,60,10,115.7120019197464
60,61,10,106.49599879980087
61,62,10,118.78400295972824
62,63,10,115.7120019197464
63,64,10,133.12000036239624
64,65,10,111.61600053310394
65,66,10,107.51999914646149
66,67,10,118.78400295972824
67,68,10,132.09599256515503
68,69,10,118.78400295972824
69,70,10,130.048006772995
70,71,10,155.64799308776855
71,72,10,111.61600053310394
72,73,10,111.61600053310394
73,74,10,111.64800077676773
74,75,10,111.61600053310394
75,76,10,113.66400122642517
76,77,10,118.78400295972824
77,78,10,116.73600226640701
78,79,10,111.61600053310394
79,80,10,116.73600226640701
80,81,10,110.59200018644333
81,82,10,108.5439994931221
82,83,10,104.44799810647964
83,84,10,123.90399724245071
84,85,10,112.64000087976456
85,86,10,110.59200018644333
86,87,10,106.49599879980087
87,88,10,112.64000087976456
88,89,10,117.76000261306763
89,90,10,104.44799810647964
90,91,10,120.83200365304947
91,92,10,113.66400122642517
92,93,10,121.85599654912949
93,94,10,119.80800330638885
94,95,10,112.64000087976456
95,96,10,124.92799758911133
96,97,10,107.51999914646149
97,98,10,116.73600226640701
98,99,10,115.7120019197464
99,1,20,353.4719944000244
100,2,20,309.2480003833771
