,l_xy,n_pts,time
0,1,10,464911.2854003906
1,2,10,3026.9439220428467
2,3,10,2516.9920921325684
3,4,10,2058.2399368286133
4,5,10,2075.648069381714
5,6,10,1701.8879652023315
6,7,10,1445.8880424499512
7,8,10,1446.9120502471924
8,9,10,1254.4000148773193
9,10,10,1133.5680484771729
10,11,10,807.9360127449036
11,12,10,723.9680290222168
12,13,10,692.2240257263184
13,14,10,660.4800224304199
14,15,10,591.871976852417
15,16,10,543.7440276145935
16,17,10,542.7200198173523
17,18,10,508.92800092697144
18,19,10,535.5520248413086
19,20,10,461.8239998817444
20,21,10,454.6560049057007
21,22,10,423.93600940704346
22,23,10,431.10400438308716
23,24,10,434.1759979724884
24,25,10,400.38400888442993
25,26,10,454.6560049057007
26,27,10,388.09600472450256
27,28,10,405.5039882659912
28,29,10,370.6879913806915
29,30,10,381.9519877433777
30,31,10,354.3039858341217
31,32,10,323.5839903354645
32,33,10,301.05599761009216
33,34,10,306.17600679397583
34,35,10,310.2720081806183
35,36,10,276.4799892902374
36,37,10,303.1040132045746
37,38,10,305.1519989967346
38,39,10,318.4640109539032
39,40,10,305.1519989967346
40,41,10,240.63999950885773
41,42,10,269.3119943141937
42,43,10,261.1199915409088
43,44,10,231.4240038394928
44,45,10,232.44799673557281
45,46,10,233.47200453281403
46,47,10,320.51199674606323
47,48,10,231.4240038394928
48,49,10,232.44799673557281
49,50,10,218.1120067834854
50,51,10,261.1199915409088
51,52,10,233.47200453281403
52,53,10,217.0879989862442
53,54,10,218.1120067834854
54,55,10,259.0720057487488
55,56,10,216.06400609016418
56,57,10,192.51200556755066
57,58,10,224.2559939622879
58,59,10,210.94399690628052
59,60,10,203.77600193023682
60,61,10,176.12800002098083
61,62,10,194.5600062608719
62,63,10,188.4160041809082
63,64,10,228.35199534893036
64,65,10,176.12800002098083
65,66,10,178.17600071430206
66,67,10,194.5600062608719
67,68,10,208.8959962129593
68,69,10,196.60800695419312
69,70,10,188.4160041809082
70,71,10,234.49599742889404
71,72,10,169.98399794101715
72,73,10,177.15199291706085
73,74,10,181.2479943037033
74,75,10,165.8879965543747
75,76,10,187.391996383667
76,77,10,282.6240062713623
77,78,10,192.51200556755066
78,79,10,185.34399569034576
79,80,10,165.8879965543747
80,81,10,162.81600296497345
81,82,10,161.79199516773224
82,83,10,145.4080045223236
83,84,10,182.27200210094452
84,85,10,165.8879965543747
85,86,10,175.10400712490082
86,87,10,161.79199516773224
87,88,10,160.76800227165222
88,89,10,156.67200088500977
89,90,10,146.43199741840363
90,91,10,158.720001578331
91,92,10,153.60000729560852
92,93,10,155.64799308776855
93,94,10,159.743994474411
94,95,10,150.52799880504608
95,96,10,160.76800227165222
96,97,10,150.52799880504608
97,98,10,149.50400590896606
98,99,10,149.50400590896606
99,1,20,9627.71224975586
100,2,20,8168.3197021484375
101,3,20,6999.072074890137
102,4,20,5560.416221618652
103,5,20,4608.352184295654
104,6,20,3983.328104019165
105,7,20,3599.2960929870605
106,8,20,3291.872024536133
107,9,20,3009.471893310547
108,10,20,2876.9919872283936
109,11,20,2595.423936843872
110,12,20,2417.344093322754
111,13,20,2144.320011138916
112,14,20,2075.360059738159
113,15,20,1990.015983581543
114,16,20,1960.1279497146606
115,17,20,1751.4560222625732
116,18,20,1697.3439455032349
117,19,20,1637.120008468628
118,20,20,1679.103970527649
119,21,20,1586.2079858779907
120,22,20,1474.5279550552368
121,23,20,1379.2320489883423
122,24,20,1347.3279476165771
123,25,20,1279.0080308914185
124,26,20,1250.3999471664429
125,27,20,1207.6799869537354
126,28,20,1230.3680181503296
127,29,20,1131.775975227356
128,30,20,1092.1599864959717
129,31,20,1092.576026916504
130,32,20,1031.167984008789
131,33,20,1075.0399827957153
132,34,20,1036.8000268936157
133,35,20,922.4960207939148
134,36,20,908.0960154533386
135,37,20,889.3759846687317
136,38,20,836.9600176811218
137,39,20,868.7679767608643
138,40,20,860.1599931716919
139,41,20,790.1120185852051
140,42,20,852.9599905014038
141,43,20,829.7600150108337
142,44,20,840.9600257873535
143,45,20,800.6079792976379
144,46,20,820.9919929504395
145,47,20,760.5440020561218
146,48,20,775.1680016517639
147,49,20,775.3279805183411
148,50,20,724.0960001945496
149,51,20,713.6319875717163
150,52,20,730.8160066604614
151,53,20,721.4720249176025
152,54,20,681.119978427887
153,55,20,684.1599941253662
154,56,20,689.5359754562378
155,57,20,673.1839776039124
156,58,20,637.6960277557373
157,59,20,641.3120031356812
158,60,20,651.1039733886719
159,61,20,618.0800199508667
160,62,20,644.0640091896057
161,63,20,622.7520108222961
162,64,20,606.9759726524353
163,65,20,627.4880170822144
164,66,20,578.6240100860596
165,67,20,621.7920184135437
166,68,20,570.8159804344177
167,69,20,596.0000157356262
168,70,20,581.1200141906738
169,71,20,615.9359812736511
170,72,20,519.4240212440491
171,73,20,601.6960144042969
172,74,20,602.6239991188049
173,75,20,551.4879822731018
174,76,20,556.9919943809509
175,77,20,525.7920026779175
176,78,20,543.39200258255
177,79,20,540.992021560669
178,80,20,515.9040093421936
179,81,20,524.832010269165
180,82,20,485.82398891448975
181,83,20,508.2560181617737
182,84,20,477.34400629997253
183,85,20,483.2000136375427
184,86,20,473.7280011177063
185,87,20,465.40799736976624
186,88,20,510.6559991836548
187,89,20,478.68800163269043
188,90,20,480.8639883995056
189,91,20,455.52000403404236
190,92,20,443.87200474739075
191,93,20,458.2720100879669
192,94,20,411.16800904273987
193,95,20,423.16800355911255
194,96,20,456.4479887485504
195,97,20,456.83199167251587
196,98,20,443.3920085430145
197,99,20,444.5120096206665
