,l_xy,n_pts,time
0,1,10,0.8672118186950684
1,2,10,7.295608520507812e-05
2,3,10,6.794929504394531e-05
3,4,10,5.316734313964844e-05
4,5,10,5.173683166503906e-05
5,6,10,9.322166442871094e-05
6,7,10,7.581710815429688e-05
7,8,10,5.0067901611328125e-05
8,9,10,5.888938903808594e-05
9,10,10,4.38690185546875e-05
10,11,10,4.696846008300781e-05
11,12,10,3.4809112548828125e-05
12,13,10,3.528594970703125e-05
13,14,10,5.316734313964844e-05
14,15,10,3.62396240234375e-05
15,16,10,3.409385681152344e-05
16,17,10,6.103515625e-05
17,18,10,5.1975250244140625e-05
18,19,10,4.982948303222656e-05
19,20,10,3.5762786865234375e-05
20,21,10,3.0040740966796875e-05
21,22,10,2.5033950805664062e-05
22,23,10,3.528594970703125e-05
23,24,10,2.9087066650390625e-05
24,25,10,4.57763671875e-05
25,26,10,2.9087066650390625e-05
26,27,10,3.0994415283203125e-05
27,28,10,2.09808349609375e-05
28,29,10,2.8848648071289062e-05
29,30,10,3.314018249511719e-05
30,31,10,2.9325485229492188e-05
31,32,10,2.09808349609375e-05
32,33,10,3.7670135498046875e-05
33,34,10,3.0040740966796875e-05
34,35,10,2.4080276489257812e-05
35,36,10,2.09808349609375e-05
36,37,10,2.09808349609375e-05
37,38,10,2.574920654296875e-05
38,39,10,2.2172927856445312e-05
39,40,10,2.002716064453125e-05
40,41,10,2.7179718017578125e-05
41,42,10,2.47955322265625e-05
42,43,10,2.5987625122070312e-05
43,44,10,2.3126602172851562e-05
44,45,10,2.2172927856445312e-05
45,46,10,2.288818359375e-05
46,47,10,1.9073486328125e-05
47,48,10,2.384185791015625e-05
48,49,10,1.6927719116210938e-05
49,50,10,2.5272369384765625e-05
50,51,10,2.5033950805664062e-05
51,52,10,2.002716064453125e-05
52,53,10,2.6941299438476562e-05
53,54,10,1.9311904907226562e-05
54,55,10,1.5020370483398438e-05
55,56,10,2.002716064453125e-05
56,57,10,2.8133392333984375e-05
57,58,10,2.2172927856445312e-05
58,59,10,2.193450927734375e-05
59,60,10,2.8133392333984375e-05
60,61,10,2.5987625122070312e-05
61,62,10,2.5033950805664062e-05
62,63,10,2.5272369384765625e-05
63,64,10,2.4080276489257812e-05
64,65,10,2.4080276489257812e-05
65,66,10,2.5033950805664062e-05
66,67,10,1.9073486328125e-05
67,68,10,2.002716064453125e-05
68,69,10,2.4080276489257812e-05
69,70,10,1.7881393432617188e-05
70,71,10,2.193450927734375e-05
71,72,10,2.574920654296875e-05
72,73,10,2.9802322387695312e-05
73,74,10,1.9073486328125e-05
74,75,10,2.5033950805664062e-05
75,76,10,2.4080276489257812e-05
76,77,10,1.6689300537109375e-05
77,78,10,2.3126602172851562e-05
78,79,10,1.9311904907226562e-05
79,80,10,6.413459777832031e-05
80,81,10,3.1948089599609375e-05
81,82,10,2.09808349609375e-05
82,83,10,1.9788742065429688e-05
83,84,10,2.5272369384765625e-05
84,85,10,1.811981201171875e-05
85,86,10,1.811981201171875e-05
86,87,10,2.193450927734375e-05
87,88,10,1.9073486328125e-05
88,89,10,1.621246337890625e-05
89,90,10,1.6927719116210938e-05
90,91,10,2.193450927734375e-05
91,92,10,1.52587890625e-05
92,93,10,2.002716064453125e-05
93,94,10,1.6927719116210938e-05
94,95,10,2.002716064453125e-05
95,96,10,2.2172927856445312e-05
96,97,10,1.8835067749023438e-05
97,98,10,1.71661376953125e-05
98,99,10,3.6716461181640625e-05
99,1,20,0.00019311904907226562
100,2,20,0.00017714500427246094
101,3,20,0.00014400482177734375
102,4,20,0.00014019012451171875
103,5,20,0.0001468658447265625
104,6,20,0.00010085105895996094
105,7,20,9.965896606445312e-05
106,8,20,8.106231689453125e-05
107,9,20,7.891654968261719e-05
108,10,20,8.606910705566406e-05
109,11,20,7.510185241699219e-05
110,12,20,7.605552673339844e-05
111,13,20,6.318092346191406e-05
112,14,20,8.797645568847656e-05
113,15,20,0.00011014938354492188
114,16,20,7.700920104980469e-05
115,17,20,5.698204040527344e-05
116,18,20,5.817413330078125e-05
117,19,20,5.7220458984375e-05
118,20,20,7.295608520507812e-05
119,21,20,5.888938903808594e-05
120,22,20,6.29425048828125e-05
121,23,20,6.198883056640625e-05
122,24,20,6.389617919921875e-05
123,25,20,7.295608520507812e-05
124,26,20,6.103515625e-05
125,27,20,6.580352783203125e-05
126,28,20,6.198883056640625e-05
127,29,20,7.104873657226562e-05
128,30,20,7.104873657226562e-05
129,31,20,5.793571472167969e-05
130,32,20,6.103515625e-05
131,33,20,5.0067901611328125e-05
132,34,20,6.508827209472656e-05
133,35,20,6.389617919921875e-05
134,36,20,5.602836608886719e-05
135,37,20,5.3882598876953125e-05
136,38,20,5.2928924560546875e-05
137,39,20,4.6253204345703125e-05
138,40,20,6.508827209472656e-05
139,41,20,6.103515625e-05
140,42,20,5.507469177246094e-05
141,43,20,5.602836608886719e-05
142,44,20,5.507469177246094e-05
143,45,20,6.318092346191406e-05
144,46,20,5.507469177246094e-05
145,47,20,4.1961669921875e-05
146,48,20,6.890296936035156e-05
147,49,20,4.7206878662109375e-05
148,50,20,3.6716461181640625e-05
149,51,20,9.202957153320312e-05
150,52,20,5.1975250244140625e-05
151,53,20,6.103515625e-05
152,54,20,4.887580871582031e-05
153,55,20,4.506111145019531e-05
154,56,20,4.1961669921875e-05
155,57,20,7.104873657226562e-05
156,58,20,8.511543273925781e-05
157,59,20,0.00011396408081054688
158,60,20,4.673004150390625e-05
159,61,20,5.1975250244140625e-05
160,62,20,4.696846008300781e-05
161,63,20,6.079673767089844e-05
162,64,20,6.723403930664062e-05
163,65,20,5.5789947509765625e-05
164,66,20,5.793571472167969e-05
165,67,20,4.506111145019531e-05
166,68,20,6.413459777832031e-05
167,69,20,7.700920104980469e-05
168,70,20,6.794929504394531e-05
169,71,20,5.1975250244140625e-05
170,72,20,4.029273986816406e-05
171,73,20,3.790855407714844e-05
172,74,20,3.695487976074219e-05
173,75,20,3.814697265625e-05
174,76,20,2.9802322387695312e-05
175,77,20,5.602836608886719e-05
176,78,20,5.412101745605469e-05
177,79,20,4.9114227294921875e-05
178,80,20,4.792213439941406e-05
179,81,20,3.0040740966796875e-05
180,82,20,5.91278076171875e-05
181,83,20,6.008148193359375e-05
182,84,20,5.602836608886719e-05
183,85,20,4.7206878662109375e-05
184,86,20,6.008148193359375e-05
185,87,20,4.506111145019531e-05
186,88,20,4.601478576660156e-05
187,89,20,6.29425048828125e-05
188,90,20,5.6743621826171875e-05
189,91,20,3.790855407714844e-05
190,92,20,3.719329833984375e-05
191,93,20,3.814697265625e-05
192,94,20,4.76837158203125e-05
193,95,20,4.076957702636719e-05
194,96,20,2.9802322387695312e-05
195,97,20,3.504753112792969e-05
196,98,20,4.1961669921875e-05
197,99,20,3.790855407714844e-05
198,1,30,0.0002949237823486328
199,2,30,0.0002391338348388672
