,l_xy,n_pts,time
0,1,10,0.9991304874420166
1,2,10,0.0007369518280029297
2,3,10,0.00027060508728027344
3,4,10,0.00024271011352539062
4,5,10,0.00026106834411621094
5,6,10,0.0002377033233642578
6,7,10,0.00024080276489257812
7,8,10,0.00023698806762695312
8,9,10,0.00023031234741210938
9,10,10,0.00021839141845703125
10,11,10,0.00021505355834960938
11,12,10,0.0002429485321044922
12,13,10,0.0002353191375732422
13,14,10,0.0002434253692626953
14,15,10,0.0002474784851074219
15,16,10,0.00022482872009277344
16,17,10,0.00021004676818847656
17,18,10,0.0002067089080810547
18,19,10,0.00022745132446289062
19,20,10,0.00023794174194335938
20,21,10,0.00022745132446289062
21,22,10,0.00021338462829589844
22,23,10,0.00021219253540039062
23,24,10,0.0002694129943847656
24,25,10,0.0002281665802001953
25,26,10,0.00022745132446289062
26,27,10,0.0002346038818359375
27,28,10,0.00023984909057617188
28,29,10,0.00021696090698242188
29,30,10,0.00022172927856445312
30,31,10,0.00020956993103027344
31,32,10,0.00021958351135253906
32,33,10,0.00020384788513183594
33,34,10,0.00019550323486328125
34,35,10,0.00024819374084472656
35,36,10,0.00022101402282714844
36,37,10,0.00023102760314941406
37,38,10,0.0002186298370361328
38,39,10,0.00022339820861816406
39,40,10,0.00023102760314941406
40,41,10,0.00023221969604492188
41,42,10,0.0002334117889404297
42,43,10,0.0002505779266357422
43,44,10,0.00021386146545410156
44,45,10,0.0002422332763671875
45,46,10,0.00019788742065429688
46,47,10,0.00022125244140625
47,48,10,0.00019359588623046875
48,49,10,0.0002033710479736328
49,50,10,0.0001952648162841797
50,51,10,0.000213623046875
51,52,10,0.0002346038818359375
52,53,10,0.0001513957977294922
53,54,10,0.0001633167266845703
54,55,10,0.00018143653869628906
55,56,10,0.00016641616821289062
56,57,10,0.00015926361083984375
57,58,10,0.000164031982421875
58,59,10,0.00023603439331054688
59,60,10,0.0002281665802001953
60,61,10,0.00020074844360351562
61,62,10,0.0002677440643310547
62,63,10,0.00019741058349609375
63,64,10,0.0002231597900390625
64,65,10,0.00020933151245117188
65,66,10,0.00019741058349609375
66,67,10,0.00020313262939453125
67,68,10,0.00020074844360351562
68,69,10,0.00020933151245117188
69,70,10,0.00024819374084472656
70,71,10,0.00024127960205078125
71,72,10,0.0002071857452392578
72,73,10,0.00021600723266601562
73,74,10,0.0002155303955078125
74,75,10,0.0002357959747314453
75,76,10,0.00021696090698242188
76,77,10,0.00019693374633789062
77,78,10,0.00019884109497070312
78,79,10,0.00021600723266601562
79,80,10,0.0002143383026123047
80,81,10,0.00020623207092285156
81,82,10,0.00019288063049316406
82,83,10,0.00020265579223632812
83,84,10,0.0002033710479736328
84,85,10,0.0001404285430908203
85,86,10,0.00013566017150878906
86,87,10,0.00013589859008789062
87,88,10,0.0001480579376220703
88,89,10,0.0001461505889892578
89,90,10,0.00014901161193847656
90,91,10,0.00021266937255859375
91,92,10,0.0002129077911376953
92,93,10,0.000213623046875
93,94,10,0.00020170211791992188
94,95,10,0.00019598007202148438
95,96,10,0.0002009868621826172
96,97,10,0.00013875961303710938
97,98,10,0.00012946128845214844
98,99,10,0.000141143798828125
99,1,20,0.0002269744873046875
100,2,20,0.0002129077911376953
101,3,20,0.0001976490020751953
102,4,20,0.00027251243591308594
103,5,20,0.00026154518127441406
104,6,20,0.0002567768096923828
105,7,20,0.00024771690368652344
106,8,20,0.00026535987854003906
107,9,20,0.0002372264862060547
108,10,20,0.0002651214599609375
109,11,20,0.0002510547637939453
110,12,20,0.00024509429931640625
111,13,20,0.0003254413604736328
112,14,20,0.00019025802612304688
113,15,20,0.00018215179443359375
114,16,20,0.0001614093780517578
115,17,20,0.0001590251922607422
116,18,20,0.00018143653869628906
117,19,20,0.0001685619354248047
118,20,20,0.00025200843811035156
119,21,20,0.00018095970153808594
120,22,20,0.0001544952392578125
121,23,20,0.00018453598022460938
122,24,20,0.0001666545867919922
123,25,20,0.00016379356384277344
124,26,20,0.00015616416931152344
125,27,20,0.00022673606872558594
126,28,20,0.0002238750457763672
127,29,20,0.00024890899658203125
128,30,20,0.00023365020751953125
129,31,20,0.00023698806762695312
130,32,20,0.0002219676971435547
131,33,20,0.0002346038818359375
132,34,20,0.00023937225341796875
133,35,20,0.0002262592315673828
134,36,20,0.00023436546325683594
135,37,20,0.00023484230041503906
136,38,20,0.00022363662719726562
137,39,20,0.0001537799835205078
138,40,20,0.00015735626220703125
139,41,20,0.00016570091247558594
140,42,20,0.00016641616821289062
141,43,20,0.00016069412231445312
142,44,20,0.00015354156494140625
143,45,20,0.00022864341735839844
144,46,20,0.00021529197692871094
145,47,20,0.00023055076599121094
146,48,20,0.000225067138671875
147,49,20,0.0002276897430419922
148,50,20,0.0002856254577636719
149,51,20,0.00023651123046875
150,52,20,0.00024175643920898438
151,53,20,0.00022673606872558594
152,54,20,0.000232696533203125
153,55,20,0.0002148151397705078
154,56,20,0.00021886825561523438
155,57,20,0.00021886825561523438
156,58,20,0.0002243518829345703
157,59,20,0.00021505355834960938
158,60,20,0.00021147727966308594
159,61,20,0.00021791458129882812
160,62,20,0.00021958351135253906
161,63,20,0.00022554397583007812
162,64,20,0.00022935867309570312
163,65,20,0.0002315044403076172
164,66,20,0.0002162456512451172
165,67,20,0.00016427040100097656
166,68,20,0.00014066696166992188
167,69,20,0.00014925003051757812
168,70,20,0.00012826919555664062
169,71,20,0.00014209747314453125
170,72,20,0.0001399517059326172
171,73,20,0.00021958351135253906
172,74,20,0.0002105236053466797
173,75,20,0.00021791458129882812
174,76,20,0.0002193450927734375
175,77,20,0.00021147727966308594
176,78,20,0.0002167224884033203
177,79,20,0.00013947486877441406
178,80,20,0.00016427040100097656
179,81,20,0.00014495849609375
180,82,20,0.00014328956604003906
181,83,20,0.0001842975616455078
182,84,20,0.00017690658569335938
183,85,20,0.00022673606872558594
184,86,20,0.000225067138671875
185,87,20,0.00021505355834960938
186,88,20,0.00021958351135253906
187,89,20,0.000209808349609375
188,90,20,0.00021409988403320312
189,91,20,0.00021314620971679688
190,92,20,0.00020813941955566406
191,93,20,0.00021791458129882812
192,94,20,0.00022554397583007812
193,95,20,0.00023555755615234375
194,96,20,0.00023984909057617188
195,97,20,0.0002200603485107422
196,98,20,0.00021123886108398438
197,99,20,0.00021505355834960938
198,1,30,0.00035262107849121094
199,2,30,0.0002970695495605469
200,3,30,0.0002853870391845703
201,4,30,0.0002899169921875
202,5,30,0.000293731689453125
203,6,30,0.00026679039001464844
204,7,30,0.0002682209014892578
205,8,30,0.0002753734588623047
206,9,30,0.0002694129943847656
207,10,30,0.00020694732666015625
208,11,30,0.0002219676971435547
209,12,30,0.0002028942108154297
210,13,30,0.00019049644470214844
211,14,30,0.00019860267639160156
212,15,30,0.00019216537475585938
213,16,30,0.0003273487091064453
214,17,30,0.00026535987854003906
215,18,30,0.00029730796813964844
216,19,30,0.00026988983154296875
217,20,30,0.0002875328063964844
218,21,30,0.0002830028533935547
219,22,30,0.0002810955047607422
220,23,30,0.0002429485321044922
221,24,30,0.0002567768096923828
222,25,30,0.00030732154846191406
223,26,30,0.0002796649932861328
224,27,30,0.0002658367156982422
225,28,30,0.00026535987854003906
226,29,30,0.00027680397033691406
227,30,30,0.0002613067626953125
228,31,30,0.0002796649932861328
229,32,30,0.0002651214599609375
230,33,30,0.00027441978454589844
231,34,30,0.0002562999725341797
232,35,30,0.00018262863159179688
233,36,30,0.00018453598022460938
234,37,30,0.00018525123596191406
235,38,30,0.00019240379333496094
236,39,30,0.00019407272338867188
237,40,30,0.0001983642578125
238,41,30,0.00018095970153808594
239,42,30,0.00020432472229003906
240,43,30,0.00018906593322753906
241,44,30,0.00018215179443359375
242,45,30,0.0001850128173828125
243,46,30,0.0002079010009765625
244,47,30,0.00021886825561523438
245,48,30,0.00019669532775878906
246,49,30,0.00018739700317382812
247,50,30,0.000179290771484375
248,51,30,0.00017213821411132812
249,52,30,0.00019669532775878906
250,53,30,0.00025391578674316406
251,54,30,0.00018548965454101562
252,55,30,0.00017833709716796875
253,56,30,0.00018358230590820312
254,57,30,0.0002002716064453125
255,58,30,0.00017881393432617188
256,59,30,0.00020647048950195312
257,60,30,0.0002732276916503906
258,61,30,0.00018525123596191406
259,62,30,0.0001761913299560547
260,63,30,0.0001800060272216797
261,64,30,0.0001728534698486328
262,65,30,0.000179290771484375
263,66,30,0.00017333030700683594
264,67,30,0.00016808509826660156
265,68,30,0.00014901161193847656
266,69,30,0.0001633167266845703
267,70,30,0.00016736984252929688
268,71,30,0.000186920166015625
269,72,30,0.0001709461212158203
270,73,30,0.00024437904357910156
271,74,30,0.0002589225769042969
272,75,30,0.00017571449279785156
273,76,30,0.00017762184143066406
274,77,30,0.00015687942504882812
275,78,30,0.0001647472381591797
276,79,30,0.0001571178436279297
277,80,30,0.0001800060272216797
278,81,30,0.00015926361083984375
279,82,30,0.0001666545867919922
280,83,30,0.00015807151794433594
281,84,30,0.00016427040100097656
282,85,30,0.00015997886657714844
283,86,30,0.0001747608184814453
284,87,30,0.00014591217041015625
285,88,30,0.0001690387725830078
286,89,30,0.00017905235290527344
287,90,30,0.00019311904907226562
288,91,30,0.00014662742614746094
289,92,30,0.00017905235290527344
290,93,30,0.0001857280731201172
291,94,30,0.0002067089080810547
292,95,30,0.00016760826110839844
293,96,30,0.0001773834228515625
294,97,30,0.00015997886657714844
295,98,30,0.00016546249389648438
296,99,30,0.0001633167266845703
297,1,40,0.0003185272216796875
298,2,40,0.00026679039001464844
299,3,40,0.0002682209014892578
300,4,40,0.00026416778564453125
301,5,40,0.00028634071350097656
302,6,40,0.0002880096435546875
303,7,40,0.0002739429473876953
304,8,40,0.00028324127197265625
305,9,40,0.0002884864807128906
306,10,40,0.00028514862060546875
307,11,40,0.0002562999725341797
308,12,40,0.00023818016052246094
309,13,40,0.0002682209014892578
310,14,40,0.0002493858337402344
311,15,40,0.00022459030151367188
312,16,40,0.00024247169494628906
313,17,40,0.00026869773864746094
314,18,40,0.00024056434631347656
315,19,40,0.00024771690368652344
316,20,40,0.00024819374084472656
317,21,40,0.00029397010803222656
318,22,40,0.0002779960632324219
319,23,40,0.00023126602172851562
320,24,40,0.00026226043701171875
321,25,40,0.0002601146697998047
322,26,40,0.0002491474151611328
323,27,40,0.00027060508728027344
324,28,40,0.0002593994140625
325,29,40,0.0002651214599609375
326,30,40,0.0002384185791015625
327,31,40,0.00025963783264160156
328,32,40,0.00024199485778808594
329,33,40,0.0002415180206298828
330,34,40,0.0002257823944091797
331,35,40,0.00024318695068359375
332,36,40,0.0002257823944091797
333,37,40,0.0002162456512451172
334,38,40,0.0002505779266357422
335,39,40,0.00021886825561523438
336,40,40,0.0002391338348388672
337,41,40,0.00025081634521484375
338,42,40,0.0002474784851074219
339,43,40,0.00024390220642089844
340,44,40,0.0002491474151611328
341,45,40,0.0002262592315673828
342,46,40,0.00022840499877929688
343,47,40,0.0002262592315673828
344,48,40,0.0002143383026123047
345,49,40,0.00021123886108398438
346,50,40,0.00024247169494628906
347,51,40,0.00023412704467773438
348,52,40,0.00022554397583007812
349,53,40,0.00022983551025390625
350,54,40,0.00022125244140625
351,55,40,0.00023126602172851562
352,56,40,0.00027251243591308594
353,57,40,0.000263214111328125
354,58,40,0.0002579689025878906
355,59,40,0.00021457672119140625
356,60,40,0.00023937225341796875
357,61,40,0.0002105236053466797
358,62,40,0.00022983551025390625
359,63,40,0.00021505355834960938
360,64,40,0.00023865699768066406
361,65,40,0.0002148151397705078
362,66,40,0.0002570152282714844
363,67,40,0.0002052783966064453
364,68,40,0.00020766258239746094
365,69,40,0.0002143383026123047
366,70,40,0.0002465248107910156
367,71,40,0.00026226043701171875
368,72,40,0.0002105236053466797
369,73,40,0.00021696090698242188
370,74,40,0.00021219253540039062
371,75,40,0.000186920166015625
372,76,40,0.00018787384033203125
373,77,40,0.00017952919006347656
374,78,40,0.0001926422119140625
375,79,40,0.00019550323486328125
376,80,40,0.0002086162567138672
377,81,40,0.0002288818359375
378,82,40,0.00023651123046875
379,83,40,0.00022029876708984375
380,84,40,0.0002315044403076172
381,85,40,0.0001983642578125
382,86,40,0.00020551681518554688
383,87,40,0.00020360946655273438
384,88,40,0.00021338462829589844
385,89,40,0.00019025802612304688
386,90,40,0.0001952648162841797
387,91,40,0.00018906593322753906
388,92,40,0.0001919269561767578
389,93,40,0.0001952648162841797
390,94,40,0.00019931793212890625
391,95,40,0.00021338462829589844
392,96,40,0.00019288063049316406
393,97,40,0.0001881122589111328
394,98,40,0.00022125244140625
395,99,40,0.0001900196075439453
396,1,50,0.00040435791015625
397,2,50,0.00036454200744628906
398,3,50,0.00036072731018066406
399,4,50,0.00031304359436035156
400,5,50,0.0003452301025390625
401,6,50,0.0003485679626464844
402,7,50,0.0003726482391357422
403,8,50,0.00031447410583496094
404,9,50,0.00033092498779296875
405,10,50,0.00033855438232421875
406,11,50,0.00033092498779296875
407,12,50,0.00032806396484375
408,13,50,0.0003151893615722656
409,14,50,0.0003173351287841797
410,15,50,0.000354766845703125
411,16,50,0.0003132820129394531
412,17,50,0.0003921985626220703
413,18,50,0.0003437995910644531
414,19,50,0.0003046989440917969
415,20,50,0.0002982616424560547
416,21,50,0.00029158592224121094
417,22,50,0.0002918243408203125
418,23,50,0.00035953521728515625
419,24,50,0.0003070831298828125
420,25,50,0.00034689903259277344
421,26,50,0.0002994537353515625
422,27,50,0.0003066062927246094
423,28,50,0.0002880096435546875
424,29,50,0.00032520294189453125
425,30,50,0.0003380775451660156
426,31,50,0.0003120899200439453
427,32,50,0.00030803680419921875
428,33,50,0.0003428459167480469
429,34,50,0.0003724098205566406
430,35,50,0.0003094673156738281
431,36,50,0.0002994537353515625
432,37,50,0.00029206275939941406
433,38,50,0.00031185150146484375
434,39,50,0.00030684471130371094
435,40,50,0.00028252601623535156
436,41,50,0.0003249645233154297
437,42,50,0.00028824806213378906
438,43,50,0.0002853870391845703
439,44,50,0.00028634071350097656
440,45,50,0.00028395652770996094
441,46,50,0.00033283233642578125
442,47,50,0.0002956390380859375
443,48,50,0.0002865791320800781
444,49,50,0.0002760887145996094
445,50,50,0.0002913475036621094
446,51,50,0.0018839836120605469
447,52,50,0.0002663135528564453
448,53,50,0.0003094673156738281
449,54,50,0.00026535987854003906
450,55,50,0.0002963542938232422
451,56,50,0.0002493858337402344
452,57,50,0.0002818107604980469
453,58,50,0.00025200843811035156
454,59,50,0.00028777122497558594
455,60,50,0.00028014183044433594
456,61,50,0.0003361701965332031
457,62,50,0.00031757354736328125
458,63,50,0.00027823448181152344
459,64,50,0.00027179718017578125
460,65,50,0.00029778480529785156
461,66,50,0.00023984909057617188
462,67,50,0.00027823448181152344
463,68,50,0.0002727508544921875
464,69,50,0.0002779960632324219
465,70,50,0.0002429485321044922
466,71,50,0.0002541542053222656
467,72,50,0.00028967857360839844
468,73,50,0.0002720355987548828
469,74,50,0.0002627372741699219
470,75,50,0.0002512931823730469
471,76,50,0.0002799034118652344
472,77,50,0.00028133392333984375
473,78,50,0.0003066062927246094
474,79,50,0.00027441978454589844
475,80,50,0.00029277801513671875
476,81,50,0.00028443336486816406
477,82,50,0.0002582073211669922
478,83,50,0.0002803802490234375
479,84,50,0.00025343894958496094
480,85,50,0.0002589225769042969
481,86,50,0.00024437904357910156
482,87,50,0.0002543926239013672
483,88,50,0.0002574920654296875
484,89,50,0.0002346038818359375
485,90,50,0.0002396106719970703
486,91,50,0.0002617835998535156
487,92,50,0.00023126602172851562
488,93,50,0.0002276897430419922
489,94,50,0.00026345252990722656
490,95,50,0.00024056434631347656
491,96,50,0.0002281665802001953
492,97,50,0.00025534629821777344
493,98,50,0.00024318695068359375
494,99,50,0.0002467632293701172
495,1,60,0.0005476474761962891
496,2,60,0.0004661083221435547
497,3,60,0.0004260540008544922
498,4,60,0.00040793418884277344
499,5,60,0.0004220008850097656
500,6,60,0.0004417896270751953
501,7,60,0.0004563331604003906
502,8,60,0.0004181861877441406
503,9,60,0.00045180320739746094
504,10,60,0.0003666877746582031
505,11,60,0.00041556358337402344
506,12,60,0.00037860870361328125
507,13,60,0.0003814697265625
508,14,60,0.00048351287841796875
509,15,60,0.0004506111145019531
510,16,60,0.0004105567932128906
511,17,60,0.000457763671875
512,18,60,0.00046944618225097656
513,19,60,0.0004467964172363281
514,20,60,0.00048041343688964844
515,21,60,0.0004582405090332031
516,22,60,0.00045943260192871094
517,23,60,0.0004267692565917969
518,24,60,0.0004363059997558594
519,25,60,0.0004999637603759766
520,26,60,0.0004284381866455078
521,27,60,0.0004410743713378906
522,28,60,0.0004496574401855469
523,29,60,0.00048089027404785156
524,30,60,0.0004863739013671875
525,31,60,0.0004284381866455078
526,32,60,0.00041961669921875
527,33,60,0.0003933906555175781
528,34,60,0.0003666877746582031
529,35,60,0.0004153251647949219
530,36,60,0.0003871917724609375
531,37,60,0.0003306865692138672
532,38,60,0.0003421306610107422
533,39,60,0.0003457069396972656
534,40,60,0.0003752708435058594
535,41,60,0.0003490447998046875
536,42,60,0.0003788471221923828
537,43,60,0.0003600120544433594
538,44,60,0.00034356117248535156
539,45,60,0.0003447532653808594
540,46,60,0.0003490447998046875
541,47,60,0.00036835670471191406
542,48,60,0.0003261566162109375
543,49,60,0.0003371238708496094
544,50,60,0.0003616809844970703
545,51,60,0.00032639503479003906
546,52,60,0.0003337860107421875
547,53,60,0.000335693359375
548,54,60,0.00030517578125
549,55,60,0.00031495094299316406
550,56,60,0.00030422210693359375
551,57,60,0.000316619873046875
552,58,60,0.0002956390380859375
553,59,60,0.00031375885009765625
554,60,60,0.00033020973205566406
555,61,60,0.0003218650817871094
556,62,60,0.00028514862060546875
557,63,60,0.00031447410583496094
558,64,60,0.0003285408020019531
559,65,60,0.00036215782165527344
560,66,60,0.0002841949462890625
561,67,60,0.0003097057342529297
562,68,60,0.00027108192443847656
563,69,60,0.00028014183044433594
564,70,60,0.0002713203430175781
565,71,60,0.0002827644348144531
566,72,60,0.0003159046173095703
567,73,60,0.00028896331787109375
568,74,60,0.000301361083984375
569,75,60,0.00029587745666503906
570,76,60,0.00029206275939941406
571,77,60,0.0003197193145751953
572,78,60,0.0003039836883544922
573,79,60,0.0003046989440917969
574,80,60,0.00028443336486816406
575,81,60,0.0002949237823486328
576,82,60,0.0002989768981933594
577,83,60,0.0003192424774169922
578,84,60,0.00028514862060546875
579,85,60,0.0002593994140625
580,86,60,0.0002760887145996094
581,87,60,0.0003287792205810547
582,88,60,0.0003094673156738281
583,89,60,0.0003287792205810547
584,90,60,0.00029277801513671875
585,91,60,0.00030231475830078125
586,92,60,0.0003342628479003906
587,93,60,0.00024771690368652344
588,94,60,0.00027251243591308594
589,95,60,0.0002589225769042969
590,96,60,0.0002658367156982422
591,97,60,0.00027298927307128906
592,98,60,0.0002689361572265625
593,99,60,0.0002968311309814453
594,1,70,0.0006310939788818359
595,2,70,0.0005347728729248047
596,3,70,0.00048160552978515625
597,4,70,0.0005962848663330078
598,5,70,0.0005817413330078125
599,6,70,0.0007388591766357422
600,7,70,0.0005221366882324219
601,8,70,0.0005321502685546875
602,9,70,0.0005145072937011719
603,10,70,0.0006155967712402344
604,11,70,0.0005328655242919922
605,12,70,0.0005223751068115234
606,13,70,0.0005140304565429688
607,14,70,0.0005178451538085938
608,15,70,0.0004913806915283203
609,16,70,0.0006129741668701172
610,17,70,0.0005266666412353516
611,18,70,0.0005457401275634766
612,19,70,0.0005071163177490234
613,20,70,0.0005304813385009766
614,21,70,0.0005404949188232422
615,22,70,0.0005121231079101562
616,23,70,0.0005288124084472656
617,24,70,0.0005557537078857422
618,25,70,0.0004334449768066406
619,26,70,0.00045990943908691406
620,27,70,0.0004038810729980469
621,28,70,0.00044226646423339844
622,29,70,0.0004208087921142578
623,30,70,0.0005016326904296875
624,31,70,0.000476837158203125
625,32,70,0.00045037269592285156
626,33,70,0.0004413127899169922
627,34,70,0.0005118846893310547
628,35,70,0.000507354736328125
629,36,70,0.00046634674072265625
630,37,70,0.0004382133483886719
631,38,70,0.0004382133483886719
632,39,70,0.00049591064453125
633,40,70,0.0014989376068115234
634,41,70,0.0003838539123535156
635,42,70,0.0004987716674804688
636,43,70,0.00042891502380371094
637,44,70,0.0004181861877441406
638,45,70,0.0004532337188720703
639,46,70,0.0004601478576660156
640,47,70,0.0004642009735107422
641,48,70,0.00047278404235839844
642,49,70,0.0005283355712890625
643,50,70,0.0004627704620361328
644,51,70,0.0004956722259521484
645,52,70,0.00039958953857421875
646,53,70,0.0004279613494873047
647,54,70,0.0004315376281738281
648,55,70,0.0004889965057373047
649,56,70,0.0004227161407470703
650,57,70,0.0003781318664550781
651,58,70,0.0004572868347167969
652,59,70,0.0004425048828125
653,60,70,0.0003783702850341797
654,61,70,0.00040149688720703125
655,62,70,0.00041937828063964844
656,63,70,0.000370025634765625
657,64,70,0.00039768218994140625
658,65,70,0.00042176246643066406
659,66,70,0.00034308433532714844
660,67,70,0.0003421306610107422
661,68,70,0.00037360191345214844
662,69,70,0.0003421306610107422
663,70,70,0.0003349781036376953
664,71,70,0.0003638267517089844
665,72,70,0.0003287792205810547
666,73,70,0.00035119056701660156
667,74,70,0.0003364086151123047
668,75,70,0.00038886070251464844
669,76,70,0.00032401084899902344
670,77,70,0.0003960132598876953
671,78,70,0.00037980079650878906
672,79,70,0.0003535747528076172
673,80,70,0.00032401084899902344
674,81,70,0.00033926963806152344
675,82,70,0.0003113746643066406
676,83,70,0.000301361083984375
677,84,70,0.0003337860107421875
678,85,70,0.0002994537353515625
679,86,70,0.0003421306610107422
680,87,70,0.0003170967102050781
681,88,70,0.00037980079650878906
682,89,70,0.0003192424774169922
683,90,70,0.0003726482391357422
684,91,70,0.00033926963806152344
685,92,70,0.0003592967987060547
686,93,70,0.0003056526184082031
687,94,70,0.0003497600555419922
688,95,70,0.0003483295440673828
689,96,70,0.0002841949462890625
690,97,70,0.00034236907958984375
691,98,70,0.00032711029052734375
692,99,70,0.00032782554626464844
693,1,80,0.000980377197265625
694,2,80,0.0006880760192871094
695,3,80,0.0006687641143798828
696,4,80,0.0007929801940917969
697,5,80,0.0005884170532226562
698,6,80,0.0006363391876220703
699,7,80,0.0007233619689941406
700,8,80,0.0007321834564208984
701,9,80,0.0006313323974609375
702,10,80,0.0007851123809814453
703,11,80,0.0006785392761230469
704,12,80,0.0006315708160400391
705,13,80,0.0006508827209472656
706,14,80,0.0006132125854492188
707,15,80,0.0006399154663085938
708,16,80,0.0006623268127441406
709,17,80,0.0006663799285888672
710,18,80,0.0006384849548339844
711,19,80,0.0006489753723144531
712,20,80,0.0006577968597412109
713,21,80,0.0006208419799804688
714,22,80,0.0006513595581054688
715,23,80,0.0005764961242675781
716,24,80,0.0007200241088867188
717,25,80,0.0006594657897949219
718,26,80,0.0005898475646972656
719,27,80,0.0006341934204101562
720,28,80,0.0005931854248046875
721,29,80,0.0006885528564453125
722,30,80,0.0005557537078857422
723,31,80,0.0004627704620361328
724,32,80,0.0005135536193847656
