,l_xy,n_pts,time
0,1,10,0.8365249633789062
1,2,10,7.510185241699219e-05
2,3,10,6.389617919921875e-05
3,4,10,5.5789947509765625e-05
4,5,10,5.3882598876953125e-05
5,6,10,5.602836608886719e-05
6,7,10,4.696846008300781e-05
7,8,10,5.412101745605469e-05
8,9,10,4.100799560546875e-05
9,10,10,5.817413330078125e-05
10,11,10,5.793571472167969e-05
11,12,10,4.1961669921875e-05
12,13,10,3.695487976074219e-05
13,14,10,3.6716461181640625e-05
14,15,10,4.506111145019531e-05
15,16,10,3.3855438232421875e-05
16,17,10,6.604194641113281e-05
17,18,10,3.886222839355469e-05
18,19,10,3.504753112792969e-05
19,20,10,2.4080276489257812e-05
20,21,10,2.6702880859375e-05
21,22,10,3.2901763916015625e-05
22,23,10,6.008148193359375e-05
23,24,10,3.0994415283203125e-05
24,25,10,3.0994415283203125e-05
25,26,10,5.2928924560546875e-05
26,27,10,2.384185791015625e-05
27,28,10,2.7894973754882812e-05
28,29,10,2.09808349609375e-05
29,30,10,3.1948089599609375e-05
30,31,10,2.47955322265625e-05
31,32,10,2.09808349609375e-05
32,33,10,2.193450927734375e-05
33,34,10,2.5033950805664062e-05
34,35,10,2.193450927734375e-05
35,36,10,2.4080276489257812e-05
36,37,10,5.0067901611328125e-05
37,38,10,2.09808349609375e-05
38,39,10,3.695487976074219e-05
39,40,10,2.9325485229492188e-05
40,41,10,2.5033950805664062e-05
41,42,10,2.3126602172851562e-05
42,43,10,3.314018249511719e-05
43,44,10,2.288818359375e-05
44,45,10,2.574920654296875e-05
45,46,10,2.2172927856445312e-05
46,47,10,2.09808349609375e-05
47,48,10,1.7881393432617188e-05
48,49,10,2.002716064453125e-05
49,50,10,2.6226043701171875e-05
50,51,10,2.4080276489257812e-05
51,52,10,2.4080276489257812e-05
52,53,10,3.695487976074219e-05
53,54,10,2.4080276489257812e-05
54,55,10,3.981590270996094e-05
55,56,10,2.5987625122070312e-05
56,57,10,2.7179718017578125e-05
57,58,10,2.4080276489257812e-05
58,59,10,2.288818359375e-05
59,60,10,3.0040740966796875e-05
60,61,10,2.0265579223632812e-05
61,62,10,2.288818359375e-05
62,63,10,2.193450927734375e-05
63,64,10,1.9073486328125e-05
64,65,10,1.7881393432617188e-05
65,66,10,1.9073486328125e-05
66,67,10,2.8848648071289062e-05
67,68,10,2.5033950805664062e-05
68,69,10,1.811981201171875e-05
69,70,10,1.9073486328125e-05
70,71,10,1.7881393432617188e-05
71,72,10,2.2172927856445312e-05
72,73,10,1.5974044799804688e-05
73,74,10,2.5987625122070312e-05
74,75,10,1.5974044799804688e-05
75,76,10,3.314018249511719e-05
76,77,10,2.7894973754882812e-05
77,78,10,2.5033950805664062e-05
78,79,10,2.5272369384765625e-05
79,80,10,2.4080276489257812e-05
80,81,10,2.384185791015625e-05
81,82,10,2.6941299438476562e-05
82,83,10,2.5987625122070312e-05
83,84,10,2.6226043701171875e-05
84,85,10,1.9788742065429688e-05
85,86,10,2.7179718017578125e-05
86,87,10,2.6941299438476562e-05
87,88,10,4.1961669921875e-05
88,89,10,1.8835067749023438e-05
89,90,10,1.8358230590820312e-05
90,91,10,1.7881393432617188e-05
91,92,10,2.288818359375e-05
92,93,10,1.5974044799804688e-05
93,94,10,1.811981201171875e-05
94,95,10,2.09808349609375e-05
95,96,10,1.7881393432617188e-05
96,97,10,2.9325485229492188e-05
97,98,10,2.09808349609375e-05
98,99,10,4.100799560546875e-05
99,1,20,0.0001857280731201172
100,2,20,0.00019311904907226562
101,3,20,0.00012993812561035156
102,4,20,0.00011086463928222656
103,5,20,0.00011420249938964844
104,6,20,9.989738464355469e-05
105,7,20,0.00011491775512695312
106,8,20,0.00010800361633300781
107,9,20,8.392333984375e-05
108,10,20,7.700920104980469e-05
109,11,20,7.677078247070312e-05
110,12,20,8.106231689453125e-05
111,13,20,9.799003601074219e-05
112,14,20,6.413459777832031e-05
113,15,20,7.104873657226562e-05
114,16,20,6.723403930664062e-05
115,17,20,6.413459777832031e-05
116,18,20,7.200241088867188e-05
117,19,20,8.893013000488281e-05
118,20,20,5.2928924560546875e-05
119,21,20,6.508827209472656e-05
120,22,20,4.506111145019531e-05
121,23,20,4.887580871582031e-05
122,24,20,4.9114227294921875e-05
123,25,20,4.363059997558594e-05
124,26,20,4.506111145019531e-05
125,27,20,4.696846008300781e-05
126,28,20,4.57763671875e-05
127,29,20,4.935264587402344e-05
128,30,20,4.792213439941406e-05
129,31,20,4.1961669921875e-05
130,32,20,5.5789947509765625e-05
131,33,20,4.291534423828125e-05
132,34,20,3.814697265625e-05
133,35,20,4.291534423828125e-05
